date,cumulative_gains
2013-12-19,-1736110.7475999997
2013-12-20,-1736110.7475999997
2013-12-24,-1736110.7475999997
2013-12-25,-1736110.7475999997
2013-12-26,-1712376.7792999998
2013-12-27,-1712376.7792999998
2013-12-30,-1712376.7792999998
2014-01-06,-1712376.7792999998
2014-01-07,-1712376.7792999998
2014-01-08,-1712376.7792999998
2014-01-09,-1712376.7792999998
2014-01-10,-1712376.7792999998
2014-01-14,-1712376.7792999998
2014-01-15,-1712376.7792999998
2014-01-16,-1712376.7792999998
2014-01-17,-1712376.7792999998
2014-01-20,-1712376.7792999998
2014-01-21,-1712376.7792999998
2014-01-22,-1712376.7792999998
2014-01-23,-1712376.7792999998
2014-01-24,-1712376.7792999998
2014-01-27,-1712376.7792999998
2014-01-28,-1712376.7792999998
2014-01-29,-1712376.7792999998
2014-01-30,-1712376.7792999998
2014-01-31,-1660534.6632999994
2014-02-03,-1660534.6632999994
2014-02-04,-1660534.6632999994
2014-02-05,-1660534.6632999994
2014-02-06,-1660534.6632999994
2014-02-07,-1660534.6632999994
2014-02-10,-1660534.6632999994
2014-02-12,-1660534.6632999994
2014-02-13,-1660534.6632999994
2014-02-14,-1660534.6632999994
2014-02-17,-1660534.6632999994
2014-02-18,-1660534.6632999994
2014-02-19,-1660534.6632999994
2014-02-20,-1660534.6632999994
2014-02-21,-1660534.6632999994
2014-02-24,-1660534.6632999994
2014-02-25,-1660534.6632999994
2014-02-26,-1660534.6632999994
2014-02-27,-1660534.6632999994
2014-02-28,-1660534.6632999994
2014-03-03,-1660534.6632999994
2014-03-04,-1660534.6632999994
2014-03-05,-1660534.6632999994
2014-03-06,-1660534.6632999994
2014-03-07,-1660534.6632999994
2014-03-10,-1660534.6632999994
2014-03-11,-1660534.6632999994
2014-03-12,-1660534.6632999994
2014-03-13,-1680396.2568999997
2014-03-14,-1733161.2528999995
2014-03-17,-1733161.2528999995
2014-03-18,-1733161.2528999995
2014-03-19,-1733161.2528999995
2014-03-20,-1733161.2528999995
2014-03-24,-1733161.2528999995
2014-03-25,-1733161.2528999995
2014-03-26,-1733161.2528999995
2014-03-27,-1732581.2968999997
2014-03-28,-1732581.2968999997
2014-03-31,-1732581.2968999997
2014-04-01,-1732581.2968999997
2014-04-02,-1732581.2968999997
2014-04-03,-1732581.2968999997
2014-04-04,-1732581.2968999997
2014-04-07,-1732581.2968999997
2014-04-08,-1732581.2968999997
2014-04-09,-1732581.2968999997
2014-04-10,-1732581.2968999997
2014-04-11,-1732581.2968999997
2014-04-14,-1732581.2968999997
2014-04-15,-1732581.2968999997
2014-04-16,-1732581.2968999997
2014-04-17,-1732581.2968999997
2014-04-18,-1732581.2968999997
2014-04-21,-1732581.2968999997
2014-04-22,-1732581.2968999997
2014-04-23,-1732581.2968999997
2014-04-24,-1732581.2968999997
2014-04-25,-1732581.2968999997
2014-04-28,-1732581.2968999997
2014-04-30,-1732581.2968999997
2014-05-01,-1732581.2968999997
2014-05-02,-1732581.2968999997
2014-05-07,-1732581.2968999997
2014-05-08,-1732581.2968999997
2014-05-09,-1732581.2968999997
2014-05-12,-1732581.2968999997
2014-05-13,-1732581.2968999997
2014-05-14,-1732581.2968999997
2014-05-15,-1732581.2968999997
2014-05-16,-1732581.2968999997
2014-05-19,-1732581.2968999997
2014-05-20,-1732581.2968999997
2014-05-21,-1697242.0271999997
2014-05-22,-1697242.0271999997
2014-05-23,-1697242.0271999997
2014-05-26,-1697242.0271999997
2014-05-27,-1697242.0271999997
2014-05-28,-1697242.0271999997
2014-05-29,-1697242.0271999997
2014-05-30,-1697242.0271999997
2014-06-02,-1697242.0271999997
2014-06-03,-1697242.0271999997
2014-06-04,-1697242.0271999997
2014-06-05,-1697242.0271999997
2014-06-06,-1697242.0271999997
2014-06-09,-1697242.0271999997
2014-06-10,-1697242.0271999997
2014-06-11,-1697242.0271999997
2014-06-12,-1697242.0271999997
2014-06-13,-1697242.0271999997
2014-06-16,-1703152.1031999995
2014-06-17,-1703152.1031999995
2014-06-18,-1699129.2717999995
2014-06-19,-1689661.1186999998
2014-06-20,-1676097.9236999995
2014-06-23,-1676097.9236999995
2014-06-24,-1676097.9236999995
2014-06-25,-1676097.9236999995
2014-06-26,-1671667.8056999997
2014-06-27,-1671667.8056999997
2014-06-30,-1671667.8056999997
2014-07-01,-1663985.3441999995
2014-07-02,-1663985.3441999995
2014-07-03,-1651417.6141999995
2014-07-04,-1651417.6141999995
2014-07-07,-1651417.6141999995
2014-07-08,-1642076.7651999996
2014-07-09,-1642076.7651999996
2014-07-10,-1642076.7651999996
2014-07-11,-1642076.7651999996
2014-07-14,-1626066.9426999998
2014-07-15,-1626066.9426999998
2014-07-16,-1626066.9426999998
2014-07-17,-1525348.0858999996
2014-07-18,-1525348.0858999996
2014-07-22,-1525348.0858999996
2014-07-23,-1525348.0858999996
2014-07-24,-1512206.3718999994
2014-07-25,-1512206.3718999994
2014-07-28,-1512206.3718999994
2014-07-29,-1512206.3718999994
2014-07-30,-1512206.3718999994
2014-07-31,-1512206.3718999994
2014-08-01,-1512206.3718999994
2014-08-04,-1515313.9071999996
2014-08-05,-1515313.9071999996
2014-08-06,-1515313.9071999996
2014-08-07,-1515313.9071999996
2014-08-08,-1515313.9071999996
2014-08-11,-1515313.9071999996
2014-08-12,-1515313.9071999996
2014-08-13,-1515313.9071999996
2014-08-14,-1515313.9071999996
2014-08-15,-1515313.9071999996
2014-08-18,-1515313.9071999996
2014-08-19,-1515313.9071999996
2014-08-20,-1515313.9071999996
2014-08-21,-1515313.9071999996
2014-08-22,-1515313.9071999996
2014-08-25,-1515313.9071999996
2014-08-26,-1515313.9071999996
2014-08-27,-1515313.9071999996
2014-08-28,-1496923.9407999997
2014-08-29,-1496923.9407999997
2014-09-01,-1496923.9407999997
2014-09-02,-1496923.9407999997
2014-09-03,-1496923.9407999997
2014-09-04,-1496923.9407999997
2014-09-05,-1496923.9407999997
2014-09-08,-1496923.9407999997
2014-09-09,-1496923.9407999997
2014-09-10,-1496923.9407999997
2014-09-11,-1496923.9407999997
2014-09-12,-1496923.9407999997
2014-09-16,-1496923.9407999997
2014-09-17,-1496923.9407999997
2014-09-18,-1496923.9407999997
2014-09-19,-1496923.9407999997
2014-09-22,-1496923.9407999997
2014-09-24,-1496923.9407999997
2014-09-25,-1496923.9407999997
2014-09-26,-1496923.9407999997
2014-09-29,-1496923.9407999997
2014-09-30,-1496923.9407999997
2014-10-01,-1496923.9407999997
2014-10-02,-1496923.9407999997
2014-10-03,-1496923.9407999997
2014-10-06,-1496923.9407999997
2014-10-07,-1496923.9407999997
2014-10-08,-1496923.9407999997
2014-10-09,-1496923.9407999997
2014-10-10,-1496923.9407999997
2014-10-14,-1496923.9407999997
2014-10-15,-1496923.9407999997
2014-10-16,-1503355.2375999999
2014-10-17,-1503355.2375999999
2014-10-20,-1503355.2375999999
2014-10-21,-1503355.2375999999
2014-10-22,-1503355.2375999999
2014-10-23,-1503355.2375999999
2014-10-24,-1503355.2375999999
2014-10-27,-1503355.2375999999
2014-10-28,-1503355.2375999999
2014-10-29,-1503355.2375999999
2014-10-30,-1503355.2375999999
2014-10-31,-1503355.2375999999
2014-11-04,-1503355.2375999999
2014-11-05,-1503355.2375999999
2014-11-06,-1503355.2375999999
2014-11-07,-1503355.2375999999
2014-11-10,-1505677.2375999999
2014-11-11,-1505677.2375999999
2014-11-12,-1505677.2375999999
2014-11-13,-1505677.2375999999
2014-11-14,-1505677.2375999999
2014-11-17,-1505677.2375999999
2014-11-18,-1505677.2375999999
2014-11-19,-1505677.2375999999
2014-11-20,-1505677.2375999999
2014-11-21,-1505677.2375999999
2014-11-25,-1505677.2375999999
2014-11-26,-1505677.2375999999
2014-11-27,-1505677.2375999999
2014-11-28,-1505677.2375999999
2014-12-01,-1505677.2375999999
2014-12-02,-1505677.2375999999
2014-12-03,-1505677.2375999999
2014-12-04,-1471980.4851999998
2014-12-05,-1471980.4851999998
2014-12-08,-1471980.4851999998
2014-12-09,-1460631.4174
2014-12-10,-1460631.4174
2014-12-11,-1460631.4174
2014-12-12,-1460631.4174
2014-12-15,-1460631.4174
2014-12-16,-1460631.4174
2014-12-17,-1460631.4174
2014-12-18,-1460631.4174
2014-12-19,-1022669.2412999998
2014-12-22,-1022669.2412999998
2014-12-24,-1022669.2412999998
2014-12-25,-1022669.2412999998
2014-12-26,-1022669.2412999998
2014-12-29,-1022669.2412999998
2014-12-30,-1022669.2412999998
2015-01-05,-1022669.2412999998
2015-01-06,-1022669.2412999998
2015-01-07,-1022669.2412999998
2015-01-08,-1001380.3239999999
2015-01-09,-1001380.3239999999
2015-01-13,-1001380.3239999999
2015-01-14,-1001380.3239999999
2015-01-15,-991874.7579999998
2015-01-16,-981534.7869999999
2015-01-19,-981534.7869999999
2015-01-20,-981534.7869999999
2015-01-21,-981534.7869999999
2015-01-22,-981534.7869999999
2015-01-23,-981534.7869999999
2015-01-26,-981534.7869999999
2015-01-27,-981534.7869999999
2015-01-28,-981534.7869999999
2015-01-29,-981534.7869999999
2015-01-30,-971388.714
2015-02-02,-1009971.6141999996
2015-02-03,-1009971.6141999996
2015-02-04,-1009971.6141999996
2015-02-05,-1009971.6141999996
2015-02-06,-1009971.6141999996
2015-02-09,-1009971.6141999996
2015-02-10,-1009971.6141999996
2015-02-12,-1009971.6141999996
2015-02-13,-1009971.6141999996
2015-02-16,-1009971.6141999996
2015-02-17,-1009971.6141999996
2015-02-18,-1009971.6141999996
2015-02-19,-1009971.6141999996
2015-02-20,-1009971.6141999996
2015-02-23,-1009971.6141999996
2015-02-24,-1009971.6141999996
2015-02-25,-1009971.6141999996
2015-02-26,-1009971.6141999996
2015-02-27,-1009971.6141999996
2015-03-02,-1009971.6141999996
2015-03-03,-921384.6457999999
2015-03-04,-921384.6457999999
2015-03-05,-880007.7137000001
2015-03-06,-866753.6037000002
2015-03-09,-866753.6037000002
2015-03-10,-866753.6037000002
2015-03-11,-866753.6037000002
2015-03-12,-866753.6037000002
2015-03-13,-833601.1487000001
2015-03-16,-833601.1487000001
2015-03-17,-796785.6193000003
2015-03-18,-707224.0209
2015-03-19,-707224.0209
2015-03-20,-707224.0209
2015-03-23,-693262.4355
2015-03-24,-685900.8882999999
2015-03-25,-676124.6552999999
2015-03-26,-656099.6893000001
2015-03-27,-646459.3355000002
2015-03-30,-646459.3355000002
2015-03-31,-646459.3355000002
2015-04-01,-646459.3355000002
2015-04-02,-646459.3355000002
2015-04-03,-629218.5575000002
2015-04-06,-629218.5575000002
2015-04-07,-629218.5575000002
2015-04-08,-629218.5575000002
2015-04-09,-629218.5575000002
2015-04-10,-629218.5575000002
2015-04-13,-629218.5575000002
2015-04-14,-629218.5575000002
2015-04-15,-629218.5575000002
2015-04-16,-605860.0517000003
2015-04-17,-605860.0517000003
2015-04-20,-605860.0517000003
2015-04-21,-601484.1186000003
2015-04-22,-547546.9780000002
2015-04-23,-534782.5666000004
2015-04-24,-534782.5666000004
2015-04-27,-534782.5666000004
2015-04-28,-534782.5666000004
2015-04-30,-534782.5666000004
2015-05-01,-534782.5666000004
2015-05-07,-534782.5666000004
2015-05-08,-534782.5666000004
2015-05-11,-477338.46290000004
2015-05-12,-451063.4029
2015-05-13,-451063.4029
2015-05-14,-451063.4029
2015-05-15,-451063.4029
2015-05-18,-451063.4029
